,index,text,label,negative_prob,positive_prob
0,0,hide new secretions from the parental units ,0,0.999400984760355,0.000599015239645
1,1,"contains no wit , only labored gags ",0,0.9257687268913796,0.0742312731086203
2,2,that loves its characters and communicates something rather beautiful about human nature ,1,0.141378393691565,0.858621606308435
3,3,remains utterly satisfied to remain the same throughout ,0,0.9844648792699884,0.0155351207300116
4,4,on the worst revenge-of-the-nerds clichés the filmmakers could dredge up ,0,0.9318757997950428,0.068124200204957
5,5,that 's far too tragic to merit such superficial treatment ,0,0.974100330453362,0.025899669546638
6,6,"demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop . ",1,0.0240813957870683,0.9759186042129316
7,7,of saucy ,1,0.5,0.5
8,8,a depressed fifteen-year-old 's suicidal poetry ,0,0.7926534938111996,0.2073465061888003
9,9,are more deeply thought through than in most ` right-thinking ' films ,1,0.0031730803445996,0.9968269196554004
10,10,goes to absurd lengths ,0,0.9614814559092588,0.0385185440907411
11,11,for those moviegoers who complain that ` they do n't make movies like they used to anymore ,0,0.9996661576494404,0.0003338423505595
12,12,"the part where nothing 's happening , ",0,0.9549235397795316,0.0450764602204683
13,13,saw how bad this movie was ,0,0.435867120085334,0.564132879914666
14,14,lend some dignity to a dumb story ,0,0.9979029840515438,0.0020970159484562
15,15,the greatest musicians ,1,0.0196318336639102,0.9803681663360898
16,16,cold movie ,0,0.8277419166152387,0.1722580833847613
17,17,with his usual intelligence and subtlety ,1,0.0304703516862794,0.9695296483137206
18,18,redundant concept ,0,0.6718671384069588,0.3281328615930412
19,19,"swimming is above all about a young woman 's face , and by casting an actress whose face projects that woman 's doubts and yearnings , it succeeds . ",1,0.1081254498284352,0.8918745501715647
20,20,equals the original and in some ways even betters it ,1,0.0435025340108387,0.9564974659891612
21,21,"if anything , see it for karen black , who camps up a storm as a fringe feminist conspiracy theorist named dirty dick . ",1,0.0002560801711684,0.9997439198288316
22,22,a smile on your face ,1,0.378425449160275,0.621574550839725
23,23,"comes from the brave , uninhibited performances ",1,0.0525284084148983,0.9474715915851016
24,24,excruciatingly unfunny and pitifully unromantic ,0,0.0780369866436048,0.9219630133563952
25,25,enriched by an imaginatively mixed cast of antic spirits ,1,0.0202607735679651,0.9797392264320348
26,26,"which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening ",0,0.9997953321460908,0.0002046678539093
27,27,in world cinema ,1,0.5,0.5
28,28,very good viewing alternative ,1,0.812879331515574,0.187120668484426
29,29,"the plot is nothing but boilerplate clichés from start to finish , ",0,0.2800719747387536,0.7199280252612463
30,30,the action is stilted ,0,0.0777235342502193,0.9222764657497806
31,31,on all cylinders ,1,0.5,0.5
32,32,"will find little of interest in this film , which is often preachy and poorly acted ",0,0.9790081572539884,0.0209918427460116
33,33,by far the worst movie of the year ,0,0.0209954602212434,0.9790045397787566
34,34,"sit through , ",0,0.5,0.5
35,35,more than another `` best man '' clone by weaving a theme throughout this funny film ,1,0.0238890891787139,0.976110910821286
36,36,it 's about issues most adults have to face in marriage and i think that 's what i liked about it -- the real issues tucked between the silly and crude storyline ,1,0.0043665363761923,0.9956334636238076
37,37,heroes ,1,0.5,0.5
38,38,oblivious to the existence of this film ,0,0.999656430782884,0.0003435692171159
39,39,sharply ,1,0.5,0.5
40,40,"the entire point of a shaggy dog story , of course , is that it goes nowhere , and this is classic nowheresville in every sense . ",0,0.9965155213539256,0.0034844786460744
41,41,sometimes dry ,0,0.9462421846465222,0.0537578153534778
42,42,"as they come , already having been recycled more times than i 'd care to count ",0,0.9996104552118238,0.0003895447881761
43,43,"covers this territory with wit and originality , suggesting that with his fourth feature ",1,0.2350135430490629,0.764986456950937
44,44,a $ 40 million version of a game ,0,0.5,0.5
45,45,gorgeous and deceptively minimalist ,1,0.0936107408362176,0.9063892591637824
46,46,cross swords with the best of them and ,1,0.001365578678349,0.9986344213216508
47,47,as a fringe feminist conspiracy theorist ,0,0.9990647533462964,0.0009352466537037
48,48,"proves once again he has n't lost his touch , bringing off a superb performance in an admittedly middling film . ",1,0.0027561964569209,0.9972438035430792
49,49,disappointments ,0,0.9899278049578818,0.0100721950421181
50,50,the horrors ,0,0.9953383760008546,0.0046616239991454
51,51,a muddle splashed with bloody beauty as vivid as any scorsese has ever given us . ,1,0.5,0.5
52,52,many pointless ,0,0.865356358937541,0.134643641062459
53,53,a beautifully ,1,0.1270679495217158,0.8729320504782841
54,54,"contrived , well-worn situations ",0,0.9589780385758856,0.0410219614241144
55,55,a doa ,0,0.7704460526810951,0.2295539473189048
56,56,poor ben bratt could n't find stardom if mapquest emailed him point-to-point driving directions . ,0,0.9827911176279052,0.0172088823720947
57,57,to be as subtle and touching as the son 's room ,1,0.0059180589316573,0.9940819410683428
58,58,starts with a legend ,1,0.018303890159891,0.9816961098401088
59,59,far less sophisticated and ,0,0.1475970761971375,0.8524029238028624
60,60,rich veins of funny stuff in this movie ,1,0.2342468102842146,0.7657531897157854
61,61,no apparent joy ,0,0.0533065505621751,0.9466934494378249
62,62,shot on ugly digital video ,0,0.9493183003323792,0.0506816996676208
63,63,... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... the film 's ending has a `` what was it all for ? '' ,0,0.9988409662425888,0.001159033757411
64,64,"though ford and neeson capably hold our interest , but its just not a thrilling movie ",0,0.999307571343558,0.000692428656442
65,65,is pretty damned funny . ,1,0.0763031580598526,0.9236968419401472
66,66,we never feel anything for these characters ,0,0.9440097629907608,0.0559902370092391
67,67,'s a lousy one at that ,0,0.9990381097274992,0.0009618902725007
68,68,the corporate circus that is the recording industry in the current climate of mergers and downsizing ,0,0.9985766470103572,0.0014233529896429
69,69,"the storylines are woven together skilfully , the magnificent swooping aerial shots are breathtaking , and the overall experience is awesome . ",1,0.0625277369351273,0.9374722630648726
70,70,of the most highly-praised disappointments i ,0,0.9968039051208724,0.0031960948791276
